"","protein","trajectory.unique.id","expr.cond1","displacement.per.ms",".group"
"156","AlkD","12-sample_dataset",10,NA,2
"157","AlkD","22-sample_dataset",10,1.45329376315002,195
"158","AlkD","22-sample_dataset",10,-0.418570955614263,195
"159","AlkD","22-sample_dataset",10,2.76027011797378,195
"160","AlkD","22-sample_dataset",10,-1.33106704320616,195
"161","AlkD","22-sample_dataset",10,-0.621208398167133,195
"162","AlkD","22-sample_dataset",10,NA,195
"163","AlkD","23-sample_dataset",10,1.43220139461336,217
"164","AlkD","23-sample_dataset",10,0.137220618546867,217
"165","AlkD","23-sample_dataset",10,1.41544418052027,217
"166","AlkD","23-sample_dataset",10,-2.60683416351257,217
"167","AlkD","23-sample_dataset",10,0.636091150366006,217
"168","AlkD","23-sample_dataset",10,-0.239243973907819,217
"169","AlkD","23-sample_dataset",10,-0.675486743314962,217
"170","AlkD","23-sample_dataset",10,-2.05819625120155,217
"171","AlkD","23-sample_dataset",10,3.46452654643796,217
"172","AlkD","23-sample_dataset",10,-2.19052035092807,217
"173","AlkD","23-sample_dataset",10,2.73550454879291,217
"174","AlkD","23-sample_dataset",10,1.3980477176386,217
"175","AlkD","23-sample_dataset",10,1.3980477176386,217
"176","AlkD","23-sample_dataset",10,-0.533201976430145,217
"177","AlkD","23-sample_dataset",10,-2.14359434049415,217
"178","AlkD","23-sample_dataset",10,1.58083272388358,217
"179","AlkD","23-sample_dataset",10,0.348727299362563,217
"180","AlkD","23-sample_dataset",10,-3.43888074171429,217
"181","AlkD","23-sample_dataset",10,0.71011236879843,217
"182","AlkD","23-sample_dataset",10,-1.08375997597771,217
"183","AlkD","23-sample_dataset",10,-1.12753523571578,217
"184","AlkD","23-sample_dataset",10,2.46243221378487,217
"185","AlkD","23-sample_dataset",10,3.33810060790659,217
"186","AlkD","23-sample_dataset",10,1.10712861032541,217
"187","AlkD","23-sample_dataset",10,0.317328548781033,217
"188","AlkD","23-sample_dataset",10,-2.13822839917013,217
"189","AlkD","23-sample_dataset",10,0.404374052082342,217
"190","AlkD","23-sample_dataset",10,-0.948701858328102,217
"191","AlkD","23-sample_dataset",10,-1.3679423450036,217
"192","AlkD","23-sample_dataset",10,0.503341008642985,217
"193","AlkD","23-sample_dataset",10,-1.26751638422057,217
"194","AlkD","23-sample_dataset",10,-0.710451888201356,217
"195","AlkD","23-sample_dataset",10,1.9778566515498,217
"196","AlkD","23-sample_dataset",10,0.503064401723092,217
"197","AlkD","23-sample_dataset",10,-0.463862343595697,217
"198","AlkD","23-sample_dataset",10,0.128976181867033,217
"199","AlkD","23-sample_dataset",10,-0.190190802234163,217
"200","AlkD","23-sample_dataset",10,0.568963860124137,217
"201","AlkD","23-sample_dataset",10,-2.33637515993172,217
"202","AlkD","23-sample_dataset",10,2.23968050978073,217
"203","AlkD","23-sample_dataset",10,-2.97746751548769,217
"204","AlkD","23-sample_dataset",10,-1.79923419014791,217
"205","AlkD","23-sample_dataset",10,0.586228010696483,217
"206","AlkD","23-sample_dataset",10,-0.11498451060603,217
"207","AlkD","23-sample_dataset",10,0.105362746817671,217
"208","AlkD","23-sample_dataset",10,-0.112068791889255,217
"209","AlkD","23-sample_dataset",10,5.33173925869496,217
"210","AlkD","23-sample_dataset",10,2.72511243287265,217
"211","AlkD","23-sample_dataset",10,1.29156494583533,217
"212","AlkD","23-sample_dataset",10,3.42858051456408,217
"213","AlkD","23-sample_dataset",10,-2.98435288067396,217
"214","AlkD","23-sample_dataset",10,-5.10930248187252,217
"215","AlkD","23-sample_dataset",10,2.37953779961004,217
"216","AlkD","23-sample_dataset",10,0.939774776413409,217
"217","AlkD","23-sample_dataset",10,-0.746653535566043,217
"218","AlkD","23-sample_dataset",10,-1.88569677696487,217
"219","AlkD","23-sample_dataset",10,0.69413853583433,217
"220","AlkD","23-sample_dataset",10,-0.434909286360529,217
"221","AlkD","23-sample_dataset",10,-2.20553742507147,217
"222","AlkD","23-sample_dataset",10,3.28266768290124,217
"223","AlkD","23-sample_dataset",10,5.82101047918785,217
"224","AlkD","23-sample_dataset",10,-0.436492293902609,217
"225","AlkD","23-sample_dataset",10,4.2161269183468,217
"226","AlkD","23-sample_dataset",10,1.81223635561528,217
"227","AlkD","23-sample_dataset",10,3.23058793335388,217
"228","AlkD","23-sample_dataset",10,-0.793272263891581,217
"229","AlkD","23-sample_dataset",10,-0.408082488527725,217
"230","AlkD","23-sample_dataset",10,-0.408082488527671,217
"231","AlkD","23-sample_dataset",10,-1.14199025739245,217
"232","AlkD","23-sample_dataset",10,2.27107712612951,217
"233","AlkD","23-sample_dataset",10,-0.596496780440668,217
"234","AlkD","23-sample_dataset",10,NA,217
"235","AlkD","33-sample_dataset",10,-2.60294134475214,261
"236","AlkD","33-sample_dataset",10,4.14859766551878,261
"237","AlkD","33-sample_dataset",10,-1.10440599227785,261
"238","AlkD","33-sample_dataset",10,-1.10440599227785,261
"239","AlkD","33-sample_dataset",10,-1.86170044635634,261
"240","AlkD","33-sample_dataset",10,1.74911272580143,261
"241","AlkD","33-sample_dataset",10,-2.34690728031436,261
"242","AlkD","33-sample_dataset",10,0.428931906420768,261
"243","AlkD","33-sample_dataset",10,-0.296528125209432,261
"244","AlkD","33-sample_dataset",10,NA,261
"245","AlkD","34-sample_dataset",10,1.85449376828674,262
"246","AlkD","34-sample_dataset",10,-1.43632399396817,262
"247","AlkD","34-sample_dataset",10,-3.30461827248647,262
"248","AlkD","34-sample_dataset",10,-0.234497352971399,262
"249","AlkD","34-sample_dataset",10,-0.205237710415884,262
"250","AlkD","34-sample_dataset",10,-0.504076472044412,262
"251","AlkD","34-sample_dataset",10,-0.431020239272516,262
"252","AlkD","34-sample_dataset",10,-0.727993680933379,262
"253","AlkD","34-sample_dataset",10,1.31137039510031,262
"254","AlkD","34-sample_dataset",10,0.142239835087875,262
"255","AlkD","34-sample_dataset",10,-0.3120857023047,262
"256","AlkD","34-sample_dataset",10,-0.3120857023047,262
"257","AlkD","34-sample_dataset",10,0.0208716806925229,262
"258","AlkD","34-sample_dataset",10,-0.0545023339632484,262
"259","AlkD","34-sample_dataset",10,0.283098350459846,262
"260","AlkD","34-sample_dataset",10,-2.12331644339155,262
"261","AlkD","34-sample_dataset",10,1.11247302714064,262
"262","AlkD","34-sample_dataset",10,6.0514436888392,262
"263","AlkD","34-sample_dataset",10,-1.39256526329087,262
"264","AlkD","34-sample_dataset",10,NA,262
"265","AlkD","35-sample_dataset",10,1.71396263596691,263
"266","AlkD","35-sample_dataset",10,-1.61153188284336,263
"267","AlkD","35-sample_dataset",10,2.20586361443957,263
"268","AlkD","35-sample_dataset",10,2.20586361443957,263
"269","AlkD","35-sample_dataset",10,1.56331806131808,263
"270","AlkD","35-sample_dataset",10,1.12402028001691,263
"271","AlkD","35-sample_dataset",10,2.21796035243409,263
"272","AlkD","35-sample_dataset",10,-3.00413961438719,263
"273","AlkD","35-sample_dataset",10,3.4583264532469,263
"274","AlkD","35-sample_dataset",10,-0.312120219780117,263
"275","AlkD","35-sample_dataset",10,NA,263
"276","AlkD","42-sample_dataset",10,1.055331869641,267
"277","AlkD","42-sample_dataset",10,-0.217182873101551,267
"278","AlkD","42-sample_dataset",10,-0.370129075974872,267
"279","AlkD","42-sample_dataset",10,-0.370129075974926,267
"280","AlkD","42-sample_dataset",10,-3.00953505182026,267
"281","AlkD","42-sample_dataset",10,NA,267
"282","AlkD","45-sample_dataset",10,-3.63114930757867,280
"283","AlkD","45-sample_dataset",10,1.38320567474139,280
"284","AlkD","45-sample_dataset",10,1.18346897748236,280
"285","AlkD","45-sample_dataset",10,1.97986690449292,280
"286","AlkD","45-sample_dataset",10,0.0340650546862781,280
"287","AlkD","45-sample_dataset",10,1.92958894507211,280
"288","AlkD","45-sample_dataset",10,-1.21347290312235,280
"289","AlkD","45-sample_dataset",10,1.47037100190516,280
"290","AlkD","45-sample_dataset",10,-0.221545639835068,280
"291","AlkD","45-sample_dataset",10,NA,280
"292","AlkD","95-sample_dataset",10,-1.33814220860434,396
"293","AlkD","95-sample_dataset",10,0.558722011542417,396
"294","AlkD","95-sample_dataset",10,-2.37973589171707,396
"295","AlkD","95-sample_dataset",10,1.72273711081995,396
"296","AlkD","95-sample_dataset",10,2.12357964940462,396
"297","AlkD","95-sample_dataset",10,-0.504055834202735,396
"298","AlkD","95-sample_dataset",10,-1.39359843516709,396
"299","AlkD","95-sample_dataset",10,1.27965586832859,396
"300","AlkD","95-sample_dataset",10,-3.63931262640797,396
